index,Objective Variable_CL(L/hr/kg)_Log
944,0.120573931
945,-0.045757491
946,0.139879086
947,-0.188424994
948,-0.415668776
949,-0.402304814
950,-0.966576245
951,-0.496754229
952,-0.854492829
953,-0.690369833
954,-0.20481541
955,-0.075720714
956,-0.614393726
957,-0.213248578
958,-0.346787486
959,-0.142667504
960,0.686636269
961,-0.642065153
962,-0.036589984
963,-0.258060922
964,-1.48148606
965,-0.770062314
966,-1.744727495
967,-0.665546249
968,-0.272458743
969,0.033423755
970,-0.358525889
971,0.09808969
972,0.077004327
973,-0.045757491
974,-1.287350298
975,0.176091259
976,-0.235077015
977,1.066624051
978,-0.230622674
979,-1.619788758
980,-0.101274818
981,0.120573931
982,-0.37923951
983,-0.226213555
984,-0.22184875
985,0.005523693
986,-1.943095149
987,-1.081969663
988,-0.806875402
989,-0.262807357
990,-0.383629528
991,-1.759450752
992,-0.126679398
993,-0.180456064
994,-1.142667504
995,-0.852632892
996,-0.996539468
997,0.13225969
998,-0.458420756
999,-0.02346662
1000,-1.568636236
1001,-0.744727495
1002,-1.188424994
1003,-0.31229272
1004,-0.540607512
1005,-0.353792388
1006,-0.4225082
1007,-1.180456064
1008,-0.966576245
1009,-0.335358024
1010,-0.514278574
1011,-0.436518915
1012,-0.33761998
1013,-0.920818754
1014,-0.415668776
1015,-0.910094889
1016,-1.149966742
1017,-0.806875402
1018,-0.823908741
1019,-0.505845406
1020,-1.045757491
1021,-0.806875402
1022,-0.213248578
1023,-0.879426069
1024,-0.180456064
1025,-1.272458743
1026,-0.462936857
1027,0.033423755
1028,-0.885389016
1029,-2.443697499
1030,-0.534319788
1031,-0.42945706
1032,-0.458420756
1033,-1.107905397
1034,-0.297569464
1035,0.253822439
1036,-0.922995673
1037,-0.194499142
1038,-0.382999659
1039,0.64738297
1040,0.139879086
1041,-1.549750892
1042,-1.009661145
1043,0.369215857
1044,-2.22184875
1045,1.549525573
1046,-0.991399828
1047,0.209515015
1048,-0.313363731
1049,-0.869666232
1050,0.158362492
1051,0.100370545
1052,-2.522878745
1053,-0.514278574
1054,-0.598599459
1055,-2.4225082
1056,0.120573931
1057,0.549738731
1058,-0.389339837
1059,-2.920818754
1060,0.401400541
1061,-1.017728767
1062,0.635483747
1063,-1.107905397
1064,-1.15739076
1065,-0.281830595
1066,-0.075720714
1067,-0.467500414
1068,-0.335358024
1069,0.209515015
1070,-0.744727495
1071,-0.76853041
1072,1.63124078
1073,0.539327064
1074,-0.779368981
1075,-0.730487056
1076,-0.329754147
1077,-0.266160999
1078,-0.454692884
1079,0.026124517
1080,-0.450996738
1081,-1.164943898
1082,-0.35261703
1083,-1.26760624
1084,-0.588380294
1085,0.429429264
1086,-0.863913903
1087,-0.790484985
1088,-0.443697499
1089,-0.26760624
1090,-0.364516253
1091,-0.075720714
1092,-0.549750892
1093,-0.759450752
1094,0.122543524
1095,0.309630167
1096,-0.124938737
1097,0.240549248
1098,-0.458420756
1099,-1.823908741
1100,-0.22184875
1101,-0.017728767
1102,-1.287350298
1103,-0.075720714
1104,-0.075720714
1105,-0.017728767
1106,-0.854492829
1107,-0.753501419
1108,0.334453751
1109,-0.045757491
1110,-0.730487056
1111,-0.246416941
1112,-1.153662888
1113,-0.563837353
1114,-1.42945706
1115,-0.042009822
1116,-0.239577517
1117,-2.505845406
1118,-0.180456064
1119,-0.514278574
1120,-1.253365801
1121,-0.943095149
1122,-0.20439802
1123,-0.619788758
1124,-1.142667504
1125,-0.188424994
1126,-1.26760624
1127,-0.104577454
1128,-0.239577517
1129,-0.244125144
1130,-1.308034897
1131,-0.568636236
1132,-0.358525889
1133,0.346352974
1134,-0.15739076
1135,-0.045178817
1136,-0.991399828
1137,-0.329754147
1138,-0.879426069
1139,-0.161150909
1140,-0.505845406
1141,-1.045757491
1142,-1.200659451
1143,-0.841637508
1144,-0.677780705
1145,-1.042871802
1146,-0.370590401
1147,-0.168770306
1148,-1.35261703
1149,-1.045757491
1150,-0.48945499
1151,-1.514278574
1152,-0.343901798
1153,0.269512944
1154,-0.841637508
1155,-0.142667504
1156,-0.017728767
1157,-0.653647026
1158,-1.642065153
1159,-0.653647026
1160,-0.920818754
1161,-0.879426069
1162,-1.642065153
1163,-0.4225082
1164,-1.235077015
1165,-0.522878745
1166,-0.35261703
1167,0.255272505
1168,-0.48148606
1169,-2.308034897
1170,-0.097997109
1171,-1.408935393
1172,-0.180456064
1173,0.346352974
1174,-0.744727495
1175,-0.587371479
1176,-0.341035157
1177,-0.614393726
1178,-1.153662888
1179,-0.366329594
1180,0.158362492
1181,-0.107905397
1182,-0.300682699
1183,-0.26760624
1184,-0.716698771
1185,-0.131943638
1186,-0.370590401
1187,-0.346787486
1188,-0.017728767
1189,0.446350735
1190,0.079181246
1191,-0.653647026
1192,0.049992857
1193,-0.443697499
1194,-0.26760624
1195,-0.774690718
1196,0.249296216
1197,0.098297536
1198,-1.22184875
1199,-0.653647026
1200,-0.443697499
1201,-2.920818754
1202,-0.107905397
1203,-1.017728767
1204,-0.790484985
1205,-0.899629455
1206,-0.920818754
1207,-0.790484985
1208,-1.135488919
1209,-1.226213555
1210,-0.11463878
1211,-0.146301788
1212,0.538573734
1213,-1.142667504
1214,-0.730487056
1215,-0.744727495
1216,-0.308034897
1217,-1.329754147
1218,-0.045757491
1219,-0.514278574
1220,-1.017728767
1221,-1.48148606
1222,-1.665546249
1223,-1.806875402
1224,-1.744727495
1225,-0.22184875
1226,-0.943095149
1227,0.056904851
1228,-1.341035157
1229,-2.37675071
1230,-1.297569464
1231,0.526339277
1232,-0.53165267
1233,-1.42945706
1234,-0.214100972
1235,0.027349608
1236,0.107142106
1237,-0.774690718
1238,-1.017728767
1239,-0.239577517
1240,-0.265680319
1241,0.34869419
1242,-0.539703673
1243,-0.272458743
1244,-1.146301788
1245,-1.244125144
1246,0.033423755
1247,-0.458420756
1248,-0.075720714
1249,-0.297569464
1250,-1.690369833
1251,-2.443697499
1252,-0.665546249
1253,-2.458420756
1254,-1.943095149
1255,-0.730487056
1256,-2.744727495
1257,-1.180456064
1258,-0.690369833
1259,-3.37675071
1260,-1.180456064
1261,-2.630784143
1262,0.167317335
1263,-1.045757491
1264,-0.716698771
1265,-1.142667504
1266,-0.313363731
1267,-0.051587034
1268,-0.690369833
1269,-0.239577517
1270,-0.034328029
1271,0.225309282
1272,-0.308034897
1273,-0.395773947
1274,-1.017728767
1275,-0.774690718
1276,-0.549750892
1277,-1.42945706
1278,-0.692932049
1279,-0.966576245
1280,-0.642065153
1281,-0.017728767
1282,-1.619788758
1283,-0.292429824
1284,-1.443697499
1285,-1.051587034
1286,-0.121478204
1287,-0.520280765
1288,-0.272458743
1289,-0.37675071
1290,-0.744727495
1291,-0.180456064
1292,0.23299611
1293,-0.272458743
1294,-1.017728767
1295,-0.879426069
1296,-0.452471424
1297,-0.905878404
1298,-0.075720714
1299,-1.899629455
1300,-0.943095149
1301,-0.847100404
1302,-0.180456064
1303,-0.297569464
1304,-0.841637508
1305,-0.943095149
1306,-1.188424994
1307,-1.790484985
1308,0.209515015
1309,-1.49757288
1310,-0.943095149
1311,0.042969073
1312,-0.142667504
1313,-0.408935393
1314,-1.318758763
1315,-0.124938737
1316,-0.841637508
1317,0.209515015
1318,-1.075720714
1319,-0.53165267
1320,-0.192464972
1321,-0.248720896
1322,0.5774918
1323,-0.798602876
1324,-0.744727495
1325,-1.239577517
1326,-0.899629455
1327,-0.017728767
1328,-0.524619407
1329,0.193124598
1330,-0.991399828
1331,-0.078833949
1332,-0.841637508
1333,-0.690369833
1334,-2.22184875
1335,-0.443697499
1336,0.333850145
1337,-0.730487056
1338,-0.634137785
1339,-0.753501419
1340,-0.988852639
1341,-1.075720714
1342,-1.53165267
1343,-0.107905397
1344,-0.568636236
1345,-1.389339837
1346,-0.303294219
1347,-1.017728767
1348,-0.983802646
1349,-0.515130967
1350,0.188084374
1351,-0.646660905
1352,-0.899629455
1353,-0.879426069
1354,0.079181246
1355,-0.436518915
1356,0.193124598
1357,-3.22184875
1358,-0.15739076
1359,-1.690369833
1360,-0.302770657
1361,0.225309282
1362,-0.458420756
1363,-1.324221658
1364,-1.48945499
1365,-0.744727495
1366,-2.522878745
1367,-0.009394789
1368,-0.845271793
1369,-0.757955761
1370,-0.374893425
1371,-0.168770306
1372,-0.057495894
1373,-0.473660723
1374,-0.017728767
1375,-0.142667504
1376,-1.017728767
1377,-0.297569464
1378,-1.759450752
1379,-0.081969663
1380,-0.514278574
1381,-0.879426069
1382,-0.395773947
1383,-0.588380294
1384,-0.49757288
1385,0.100370545
1386,-0.70333481
